age,education.num,capital.gain,capital.loss,hours.per.week,workclass,marital.status,occupation,race,sex,native.country,income
62,13,0,0,40,State-gov,Divorced,Prof-specialty,White,Male,United-States,<=50K
39,14,0,0,55,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
58,13,0,0,40,Private,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
41,9,0,0,40,Private,Married-spouse-absent,Craft-repair,White,Male,Poland,<=50K
26,6,0,0,55,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
44,13,0,2415,50,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
42,7,0,0,40,State-gov,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
40,13,0,0,40,Private,Married-civ-spouse,Sales,White,Male,United-States,>50K
26,12,0,0,40,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
37,14,0,0,60,Private,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
46,13,0,0,60,Private,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
25,13,0,0,40,Private,Never-married,Adm-clerical,White,Male,United-States,<=50K
35,13,0,0,55,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
49,4,0,0,99,?,Married-civ-spouse,?,White,Male,United-States,<=50K
20,5,0,0,40,Private,Never-married,Priv-house-serv,White,Male,Mexico,<=50K
44,13,0,0,50,Private,Married-civ-spouse,Prof-specialty,White,Male,?,>50K
23,10,2202,0,80,Private,Never-married,Other-service,Black,Male,United-States,<=50K
28,10,0,0,50,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
20,10,0,0,56,Private,Never-married,Sales,White,Female,United-States,<=50K
31,8,0,0,40,State-gov,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
24,9,0,0,40,Private,Never-married,Other-service,Black,Male,United-States,<=50K
46,5,0,0,50,Self-emp-inc,Married-civ-spouse,Adm-clerical,White,Female,United-States,<=50K
55,13,0,2415,50,Self-emp-inc,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
42,14,15024,0,50,Private,Married-civ-spouse,Sales,White,Male,?,>50K
19,10,0,0,30,Private,Never-married,Adm-clerical,White,Female,United-States,<=50K
35,15,0,0,45,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
23,13,0,0,40,Private,Never-married,Tech-support,White,Female,United-States,<=50K
24,9,0,0,40,Private,Never-married,Farming-fishing,White,Male,United-States,<=50K
38,13,0,0,24,Private,Divorced,Priv-house-serv,White,Female,United-States,<=50K
41,9,0,0,40,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,<=50K
36,3,0,0,35,Private,Separated,Priv-house-serv,Other,Female,Mexico,<=50K
31,10,0,0,50,Private,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
20,10,0,0,30,?,Never-married,?,White,Female,United-States,<=50K
45,13,0,0,60,Self-emp-inc,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
25,9,0,0,60,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
49,14,0,0,45,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
27,10,0,0,45,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
36,6,0,0,24,Private,Married-civ-spouse,Other-service,White,Female,United-States,<=50K
38,11,7298,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
61,3,0,1876,56,Private,Divorced,Transport-moving,White,Male,United-States,<=50K
21,9,0,0,40,Private,Never-married,Machine-op-inspct,White,Female,United-States,<=50K
27,10,0,0,20,Private,Separated,Adm-clerical,White,Female,United-States,<=50K
35,12,0,0,50,Private,Divorced,Exec-managerial,White,Female,United-States,<=50K
24,10,0,0,30,Private,Never-married,Adm-clerical,White,Female,United-States,<=50K
60,3,0,0,40,Private,Divorced,Machine-op-inspct,White,Female,Puerto-Rico,<=50K
26,13,0,0,58,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
30,13,0,0,55,Private,Never-married,Exec-managerial,White,Male,United-States,>50K
52,13,0,0,30,Private,Married-spouse-absent,Prof-specialty,White,Male,United-States,>50K
34,10,0,0,70,Self-emp-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
48,10,0,0,32,Private,Divorced,Other-service,White,Female,United-States,<=50K
30,9,0,0,60,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
31,9,0,0,40,Local-gov,Divorced,Adm-clerical,White,Female,United-States,<=50K
51,9,0,0,38,Private,Divorced,Other-service,White,Female,United-States,<=50K
43,9,0,0,40,Private,Separated,Exec-managerial,Black,Female,United-States,<=50K
34,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
48,13,0,0,40,Private,Separated,Adm-clerical,Asian-Pac-Islander,Female,Philippines,<=50K
30,13,0,0,40,Private,Married-AF-spouse,Exec-managerial,White,Female,United-States,>50K
23,9,0,0,35,Private,Never-married,Other-service,White,Female,United-States,<=50K
53,9,0,0,48,Local-gov,Married-civ-spouse,Exec-managerial,Amer-Indian-Eskimo,Male,United-States,<=50K
25,9,0,0,40,Private,Divorced,Other-service,White,Female,Mexico,<=50K
42,10,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
27,9,0,0,40,Private,Never-married,Sales,White,Male,United-States,<=50K
54,9,0,0,40,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
52,14,0,0,40,Local-gov,Married-civ-spouse,Prof-specialty,White,Male,United-States,<=50K
45,9,0,0,40,Private,Married-civ-spouse,Transport-moving,White,Male,United-States,<=50K
29,12,0,0,40,Self-emp-inc,Never-married,Prof-specialty,Black,Female,United-States,<=50K
31,10,0,0,20,Private,Divorced,Craft-repair,White,Female,United-States,<=50K
24,9,0,0,24,Private,Married-civ-spouse,Machine-op-inspct,White,Female,United-States,<=50K
21,10,0,0,20,State-gov,Never-married,Tech-support,White,Female,United-States,<=50K
40,12,0,0,40,Private,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
36,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
29,9,0,0,40,Private,Never-married,Machine-op-inspct,White,Female,United-States,<=50K
50,15,0,2415,60,Self-emp-inc,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
36,3,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,Mexico,<=50K
46,5,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,White,Male,Guatemala,<=50K
36,9,2907,0,40,Private,Never-married,Adm-clerical,White,Female,Nicaragua,<=50K
50,13,0,0,45,Private,Divorced,Sales,White,Male,United-States,<=50K
54,10,0,0,40,Private,Separated,Exec-managerial,White,Female,United-States,<=50K
27,10,0,0,60,Self-emp-not-inc,Never-married,Exec-managerial,White,Male,United-States,>50K
33,13,0,0,50,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
35,9,0,0,40,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
20,10,0,0,25,?,Never-married,?,White,Male,United-States,<=50K
61,10,0,0,40,Private,Widowed,Adm-clerical,White,Female,United-States,<=50K
64,9,0,0,25,Private,Married-civ-spouse,Farming-fishing,White,Male,France,<=50K
30,7,0,0,45,Self-emp-not-inc,Never-married,Craft-repair,White,Male,United-States,>50K
53,14,15024,0,55,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,>50K
49,13,0,0,45,Private,Married-civ-spouse,Sales,White,Male,United-States,>50K
57,9,0,0,84,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
36,9,0,0,35,Private,Separated,Other-service,Black,Female,United-States,<=50K
59,5,0,0,40,Private,Widowed,Other-service,Black,Female,United-States,<=50K
45,9,0,0,40,?,Married-civ-spouse,?,White,Male,United-States,<=50K
46,9,0,0,80,Federal-gov,Married-civ-spouse,Adm-clerical,Black,Male,United-States,>50K
52,7,0,0,20,Private,Divorced,Other-service,White,Female,United-States,<=50K
27,10,0,0,48,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
47,9,0,0,40,Private,Married-civ-spouse,Exec-managerial,White,Female,United-States,>50K
39,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,<=50K
25,9,0,0,45,Private,Never-married,Handlers-cleaners,White,Male,United-States,<=50K
43,9,0,0,42,Private,Married-AF-spouse,Craft-repair,Black,Female,United-States,>50K
60,13,0,0,40,Private,Married-civ-spouse,Sales,White,Male,United-States,>50K
33,14,15024,0,40,Private,Married-civ-spouse,Prof-specialty,White,Male,United-States,>50K
21,10,2597,0,45,Private,Never-married,Adm-clerical,White,Male,United-States,<=50K
30,10,0,0,50,Private,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,United-States,>50K
46,15,0,0,50,Private,Never-married,Exec-managerial,White,Male,United-States,>50K
31,9,0,0,40,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
31,14,0,0,40,Private,Married-civ-spouse,Sales,White,Male,United-States,>50K
58,12,0,0,40,Private,Divorced,Adm-clerical,White,Female,United-States,<=50K
17,7,0,0,20,Private,Never-married,Other-service,Amer-Indian-Eskimo,Female,United-States,<=50K
45,9,0,0,45,Private,Married-civ-spouse,Exec-managerial,White,Male,United-States,<=50K
39,7,0,0,40,Private,Divorced,Transport-moving,White,Male,United-States,<=50K
42,9,4386,0,48,Private,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,>50K
41,11,0,0,40,Private,Divorced,Craft-repair,White,Female,United-States,<=50K
20,10,0,0,20,Local-gov,Never-married,Protective-serv,Asian-Pac-Islander,Female,United-States,<=50K
19,9,0,0,40,Private,Never-married,Adm-clerical,White,Female,United-States,<=50K
35,7,0,0,65,Private,Married-civ-spouse,Sales,White,Male,United-States,<=50K
46,10,0,0,40,Federal-gov,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
62,10,0,0,16,Private,Widowed,Exec-managerial,White,Female,United-States,<=50K
32,10,0,0,40,Private,Never-married,Adm-clerical,White,Female,United-States,<=50K
26,6,0,0,40,Local-gov,Married-civ-spouse,Other-service,White,Male,United-States,<=50K
36,10,0,0,40,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
28,9,0,0,30,Self-emp-not-inc,Never-married,Machine-op-inspct,Black,Male,United-States,<=50K
24,9,0,0,98,Private,Never-married,Farming-fishing,White,Male,United-States,<=50K
23,13,0,0,40,Private,Never-married,Tech-support,White,Male,United-States,<=50K
22,10,0,0,12,?,Never-married,?,Asian-Pac-Islander,Female,Thailand,<=50K
62,9,6418,0,40,Private,Married-civ-spouse,Farming-fishing,White,Male,United-States,>50K
31,10,0,1504,40,Private,Never-married,Sales,White,Female,United-States,<=50K
28,8,0,0,40,Private,Never-married,Sales,Black,Male,United-States,<=50K
30,10,0,0,45,Private,Married-civ-spouse,Tech-support,Black,Female,United-States,<=50K
57,11,0,0,40,Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,United-States,>50K
46,9,0,0,40,Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,United-States,>50K
44,11,0,0,40,Private,Married-civ-spouse,Tech-support,White,Male,United-States,>50K
30,14,0,0,45,Private,Never-married,Prof-specialty,White,Male,United-States,>50K
23,9,0,0,45,Private,Married-civ-spouse,Craft-repair,White,Male,United-States,<=50K
46,12,0,0,38,Private,Divorced,Sales,White,Female,United-States,<=50K
21,10,4101,0,40,Private,Never-married,Exec-managerial,White,Female,United-States,<=50K
26,10,0,0,35,Private,Married-spouse-absent,Craft-repair,Black,Female,Dominican-Republic,<=50K
18,7,0,0,15,Self-emp-inc,Never-married,Sales,White,Male,United-States,<=50K
26,7,0,0,40,Private,Never-married,Other-service,White,Male,United-States,<=50K
