age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,sex,race,c_charge_degree,two_year_recid
31,0,2,0,0,0,0.0,Male,African-American,F,0
21,0,7,0,0,1,1.0,Male,African-American,F,1
51,0,1,0,0,4,1.0,Male,Caucasian,F,1
25,0,8,0,1,7,47.0,Male,African-American,F,0
52,0,1,0,0,3,25.0,Female,Caucasian,M,0
38,0,2,0,0,2,1.0,Male,Caucasian,M,0
44,0,1,0,0,0,1.0,Male,African-American,F,1
49,0,8,0,0,3,1.0,Male,Caucasian,F,1
30,0,10,2,2,13,0.0,Male,African-American,F,1
38,0,1,0,0,1,8.0,Male,African-American,F,1
23,0,2,0,0,0,0.0,Male,Caucasian,F,0
22,0,7,0,0,1,1.0,Female,Caucasian,F,0
36,0,1,0,0,0,1.0,Male,Other,F,0
27,0,7,0,0,4,0.0,Male,Caucasian,F,1
41,0,1,0,0,2,1.0,Male,African-American,F,0
22,0,7,1,1,2,681.0,Female,Caucasian,F,0
37,0,6,0,0,0,1.0,Male,Caucasian,F,0
40,0,2,0,0,0,3.0,Male,Hispanic,M,0
22,0,7,0,0,0,1.0,Male,African-American,F,1
24,0,2,0,0,0,1.0,Male,Hispanic,F,0
49,0,2,0,0,0,1.0,Male,Hispanic,M,0
45,0,3,0,0,3,1.0,Male,Caucasian,M,1
27,0,4,0,0,1,1.0,Male,African-American,F,1
26,0,6,0,0,3,1.0,Male,African-American,F,1
41,0,1,0,0,0,1.0,Female,Caucasian,M,0
44,0,6,0,0,8,782.0,Male,Caucasian,F,1
55,0,7,0,0,0,2.0,Female,Caucasian,F,1
58,0,7,0,0,21,2.0,Male,African-American,M,1
36,0,2,0,0,1,1.0,Female,African-American,F,0
38,0,3,0,0,0,6.0,Male,Caucasian,F,1
21,0,9,0,0,0,1.0,Male,African-American,M,1
30,0,3,0,0,2,1.0,Male,African-American,F,1
33,0,2,0,0,1,90.0,Male,Hispanic,M,0
29,0,7,0,0,9,1.0,Male,African-American,F,1
52,0,4,0,0,0,1.0,Male,African-American,F,0
61,0,3,0,0,11,1.0,Male,African-American,F,0
26,0,5,1,0,5,1.0,Male,African-American,M,0
21,0,8,0,1,0,1.0,Male,African-American,F,1
36,0,1,0,0,0,3.0,Male,African-American,F,0
27,0,9,0,1,5,1.0,Male,African-American,F,1
22,0,8,0,1,0,1.0,Male,African-American,F,1
39,0,2,0,0,2,0.0,Female,Hispanic,F,0
22,0,8,0,2,5,2.0,Male,Caucasian,F,1
26,0,3,0,0,0,1.0,Male,African-American,M,1
23,0,4,0,0,0,1.0,Female,African-American,M,0
24,0,8,0,1,7,97.0,Male,African-American,M,1
36,2,6,0,0,4,1.0,Female,African-American,M,1
21,0,10,0,0,0,1.0,Male,African-American,M,0
51,0,3,0,0,6,0.0,Male,Caucasian,F,1
42,0,4,0,0,5,0.0,Male,Caucasian,F,0
22,0,7,0,0,1,1.0,Male,African-American,F,1
28,0,3,0,0,2,36.0,Female,Caucasian,F,0
52,0,1,0,0,0,1.0,Male,Caucasian,F,0
56,0,1,0,0,4,0.0,Male,Caucasian,F,0
25,0,4,0,0,1,18.0,Male,African-American,F,1
22,0,6,0,0,1,1.0,Male,African-American,F,1
58,0,7,0,0,38,112.0,Male,African-American,F,1
21,0,6,0,1,0,1.0,Male,Native American,M,1
29,0,6,0,0,2,1.0,Male,African-American,F,0
31,0,2,0,0,1,75.0,Male,Hispanic,M,0
22,0,3,0,0,0,2.0,Male,African-American,M,1
27,0,1,0,0,3,1.0,Male,African-American,F,1
36,0,2,0,0,1,1.0,Female,African-American,M,0
24,0,9,0,2,1,1.0,Male,African-American,M,1
43,0,5,0,0,4,1.0,Male,Caucasian,F,0
26,0,5,0,0,1,1.0,Female,African-American,F,0
21,0,10,0,0,1,0.0,Male,African-American,F,1
50,0,1,0,0,0,1.0,Male,Other,F,1
25,0,2,0,0,0,1.0,Male,Other,F,0
45,0,3,0,0,2,1.0,Female,African-American,F,0
48,0,6,0,0,9,1.0,Male,Caucasian,F,0
24,0,9,0,0,1,1.0,Female,African-American,F,0
34,0,3,0,0,2,0.0,Male,Hispanic,M,0
61,0,1,0,0,0,1.0,Male,Caucasian,M,0
29,0,2,0,0,0,1.0,Male,Caucasian,F,1
50,0,1,0,0,1,606.0,Female,Caucasian,M,0
29,0,2,0,0,0,1.0,Male,African-American,M,0
37,0,4,0,0,2,1.0,Male,Other,F,1
29,0,10,0,0,7,1.0,Male,Caucasian,F,1
27,0,5,0,0,0,0.0,Female,Caucasian,F,0
20,0,3,0,0,0,1.0,Male,African-American,F,0
21,0,4,0,0,1,1.0,Female,African-American,F,1
34,0,4,0,0,5,1.0,Male,Caucasian,M,0
28,0,2,0,0,0,1.0,Female,Other,F,0
50,0,2,0,0,11,31.0,Male,Caucasian,F,1
31,0,9,0,0,0,1.0,Female,Caucasian,M,0
43,0,1,0,0,4,26.0,Male,African-American,F,1
26,0,8,1,1,13,1.0,Male,African-American,F,1
53,0,1,0,0,6,176.0,Male,Caucasian,F,0
57,0,1,0,0,0,0.0,Male,African-American,M,0
32,0,8,6,5,17,1.0,Male,African-American,F,1
29,0,10,0,0,12,1.0,Male,African-American,F,1
44,0,1,0,0,0,1.0,Male,Caucasian,F,0
24,0,5,0,0,0,3.0,Male,African-American,M,0
36,0,4,0,0,6,26.0,Male,Caucasian,F,0
64,0,1,0,0,1,1.0,Female,Caucasian,F,0
23,0,3,0,0,0,1.0,Male,African-American,M,1
35,0,4,0,0,0,1.0,Male,African-American,F,0
24,0,2,0,1,0,1.0,Male,African-American,F,0
50,0,1,0,0,5,91.0,Male,Other,F,0
29,0,8,0,3,9,1.0,Female,African-American,M,1
25,0,4,0,0,2,23.0,Male,African-American,F,0
39,0,1,0,0,1,41.0,Female,African-American,F,0
26,0,6,0,0,1,13.0,Female,Caucasian,F,0
21,0,6,0,0,0,1.0,Male,Other,F,0
32,0,9,0,0,0,1.0,Male,African-American,F,0
37,0,1,0,0,0,1.0,Female,African-American,F,0
22,0,9,0,0,0,1.0,Male,African-American,M,0
28,0,3,0,0,9,1.0,Male,African-American,F,1
30,0,2,0,0,1,3.0,Female,Hispanic,M,0
33,0,2,0,0,1,1.0,Male,African-American,F,1
56,0,1,0,0,1,65.0,Male,Caucasian,M,0
35,0,9,1,0,8,0.0,Male,African-American,F,0
28,0,4,0,0,0,1.0,Female,Caucasian,F,1
39,0,10,2,0,22,1.0,Female,African-American,F,1
29,1,8,0,1,9,1.0,Male,Caucasian,F,1
28,0,5,0,0,3,16.0,Female,African-American,F,0
30,0,1,0,0,1,1.0,Male,Caucasian,F,1
30,0,3,0,0,3,1.0,Female,Caucasian,F,1
27,0,4,0,0,6,1.0,Male,African-American,F,1
33,0,1,0,0,0,1.0,Male,Caucasian,F,0
34,0,3,0,0,0,1.0,Female,Caucasian,F,1
35,0,7,0,0,2,1.0,Male,African-American,M,0
22,0,3,0,0,0,1.0,Female,Caucasian,M,0
37,0,1,0,0,2,2.0,Male,Caucasian,M,0
27,0,4,0,0,0,0.0,Male,Caucasian,F,0
