ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
66,169,1,73,28,1,1,93,76,6,6,30,3,57,0,5,4,72,83,6,4,3,91,Bad
59,137,11,78,31,0,0,91,1,4,6,32,1,47,0,0,0,62,93,12,4,3,94,Bad
54,88,7,37,25,0,0,92,9,4,6,26,3,58,0,4,4,89,76,7,7,2,100,Good
68,148,7,65,17,0,0,83,31,6,6,18,1,44,0,0,0,28,48,2,2,2,40,Good
61,79,4,36,19,0,0,95,5,4,6,19,3,26,0,6,6,31,86,5,3,1,62,Bad
50,311,25,76,12,1,0,60,2,3,5,15,0,20,0,1,1,84,64,5,2,2,88,Bad
63,184,3,77,34,0,0,97,32,6,6,36,2,36,0,11,10,71,80,10,2,3,82,Bad
61,256,19,68,14,0,0,87,0,4,6,15,0,33,0,2,1,62,68,3,3,1,86,Bad
62,131,4,59,16,4,2,79,23,6,5,20,4,58,0,4,4,25,91,3,4,1,70,Bad
57,147,4,73,27,1,1,97,1,0,2,31,2,48,0,4,4,44,87,3,2,3,56,Bad
65,88,9,45,20,0,0,85,1,4,6,20,1,20,0,0,0,14,71,4,2,1,50,Bad
64,91,4,55,19,1,1,90,0,0,2,20,2,50,0,2,2,24,81,6,3,1,82,Bad
58,265,3,79,25,2,1,93,13,0,5,28,2,48,0,1,1,63,50,8,2,0,91,Bad
58,150,16,72,18,2,0,55,4,4,5,22,0,45,0,1,1,79,38,7,3,0,91,Bad
66,284,32,107,15,2,2,82,3,4,4,17,0,53,0,1,1,19,50,3,2,1,63,Bad
71,179,3,62,15,3,2,83,37,6,2,18,4,33,0,5,5,5,9,1,1,0,22,Good
54,114,12,49,9,3,3,64,4,0,2,12,0,27,0,0,0,62,14,6,2,1,100,Bad
67,118,6,37,23,2,2,88,70,6,2,26,5,42,0,0,0,31,70,5,3,1,67,Bad
51,186,13,96,22,3,1,84,2,0,2,25,0,56,0,4,3,79,50,5,3,3,100,Bad
55,114,6,59,19,0,0,89,5,4,6,19,1,53,0,1,1,97,90,8,2,6,100,Bad
70,176,8,96,20,0,0,95,17,5,6,20,1,30,0,0,0,74,71,8,4,3,86,Bad
78,368,6,74,42,0,0,98,23,5,6,43,3,49,0,3,3,10,19,8,2,0,67,Bad
55,118,4,69,12,7,4,50,4,3,3,22,2,27,0,2,2,79,79,5,2,2,88,Bad
63,174,1,62,11,1,0,79,5,3,5,14,1,29,0,5,5,37,101,5,2,2,70,Bad
59,243,11,79,38,1,1,76,7,4,6,43,1,50,0,1,1,63,78,7,4,4,86,Bad
66,176,11,81,43,0,0,98,3,4,6,44,1,39,0,2,2,36,64,3,4,1,47,Bad
72,169,5,60,21,1,1,96,30,6,3,23,1,52,0,4,4,66,82,4,3,1,78,Bad
73,324,15,89,19,0,0,89,9,4,6,19,0,21,0,0,0,34,36,6,3,1,64,Good
78,134,2,63,35,0,0,93,32,6,6,40,3,40,0,0,0,22,55,5,4,0,60,Good
65,155,8,37,20,1,1,95,8,4,6,21,1,38,0,2,2,49,87,5,5,1,67,Bad
68,106,3,54,29,1,1,87,51,6,2,31,2,65,0,1,1,85,73,3,5,2,100,Good
67,85,7,44,15,1,1,93,45,6,6,16,2,33,0,0,0,59,62,3,2,2,83,Bad
62,151,19,99,5,1,1,80,16,6,6,6,0,80,0,0,0,40,75,1,2,0,100,Bad
