proximity,k_feasibility_3,discriminative_power_9,sparsity,instability,coverage,actionable
1.16,0.88,0.37,1.77,1.22,1.0,1.0
2.08,0.4,0.67,5.68,1.11,1.0,1.0
0.2,0.3,0.17,2.24,0.64,0.99,0.99
0.64,0.4,0.64,3.27,0.82,0.96,0.96
0.13,0.31,0.39,1.16,0.67,1.0,1.0
2.13,1.53,0.32,3.1,1.91,0.99,0.07
2.78,1.39,0.49,6.26,1.64,1.0,1.0
1.13,0.09,0.71,3.82,0.59,1.0,0.85
0.66,0.66,0.69,1.72,0.91,0.4,0.4
0.35,0.24,0.97,2.51,0.64,1.0,1.0
0.35,0.26,0.95,2.51,0.65,1.0,1.0
1.52,0.78,0.48,3.64,1.18,1.0,0.88
