proximity,k_feasibility_3,discriminative_power_9,sparsity,instability,coverage,actionable
0.96,0.84,0.34,1.68,1.31,1.0,1.0
0.5,0.11,0.67,3.48,0.18,1.0,0.59
0.27,0.22,0.34,2.7,0.34,1.0,0.99
0.24,0.17,0.49,2.34,0.21,1.0,1.0
0.33,0.32,0.29,1.57,0.38,1.0,1.0
0.74,0.19,0.53,2.9,0.33,1.0,0.34
0.27,0.17,0.63,3.05,0.33,1.0,1.0
0.01,0.08,0.44,0.14,0.15,0.03,0.03
0.53,0.05,0.69,3.62,0.16,1.0,0.05
0.22,0.12,0.98,2.31,0.25,1.0,1.0
0.22,0.13,0.98,2.35,0.25,1.0,1.0
0.53,0.34,0.53,2.59,0.55,1.0,0.8
